Nc3 d5 e4 d4 Nce2 e5 Ng3 Be6 Nf3 f6 Be2 Nc6
Nf3 Nf6 c4 c5 Nc3 Nc6 g3 d5 cxd5 Nxd5 Bg2 Nc7
Nf3 Nf6 c4 c5 Nc3 Nc6 g3 d5 cxd5 Nxd5 Bg2 g6
Nf3 Nf6 c4 c5 Nc3 Nc6 g3 d5 d4 e6 cxd5 Nxd5
Nf3 Nf6 c4 c5 Nc3 Nc6 g3 d6 d4 cxd4 Nxd4 Bd7
Nf3 Nf6 c4 c5 Nc3 Nc6 g3 e6 Bg2 d5 cxd5 Nxd5
Nf3 Nf6 c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 O-O O-O
Nf3 Nf6 c4 c5 Nc3 Nc6 g3 g6 d4 cxd4 Nxd4 d6
Nf3 Nf6 c4 c5 Nc3 b6 e3 g6 d4 Bg7 d5 O-O
Nf3 Nf6 c4 c5 Nc3 d5 cxd5 Nxd5 d4 Nxc3 bxc3 g6
Nf3 Nf6 c4 c5 Nc3 d5 cxd5 Nxd5 e3 Nc6 Bb5 Nxc3
Nf3 Nf6 c4 c5 Nc3 d5 cxd5 Nxd5 e3 Nxc3 bxc3 g6
Nf3 Nf6 c4 c5 Nc3 d5 cxd5 Nxd5 e3 Nxc3 dxc3 Qxd1+
Nf3 Nf6 c4 c5 Nc3 d5 cxd5 Nxd5 e3 e6 Bc4 Nc6
Nf3 Nf6 c4 c5 Nc3 d5 cxd5 Nxd5 e3 e6 Nxd5 exd5
Nf3 Nf6 c4 c5 Nc3 d5 cxd5 Nxd5 e3 e6 Qc2 Be7
Nf3 Nf6 c4 c5 Nc3 d5 cxd5 Nxd5 e4 Nb4 Bc4 Nd3+
Nf3 Nf6 c4 c5 Nc3 e6 g3 b6 Bg2 Bb7 O-O Be7
Nf3 Nf6 c4 c5 Nc3 g6 d4 Bg7 e4 O-O Be2 d6
Nf3 Nf6 c4 c5 Nc3 g6 e4 d6 d4 cxd4 Nxd4 Bg7
Nf3 Nf6 c4 c5 b3 g6 Bb2 Bg7 g3 b6 Bg2 Bb7
Nf3 Nf6 c4 c5 d4 cxd4 Nxd4 Nc6 Nc3 e6 a3 Bc5
Nf3 Nf6 c4 c5 d4 cxd4 Nxd4 Nc6 Nc3 e6 g3 Qb6
Nf3 Nf6 c4 c5 d4 cxd4 Nxd4 e6 Nc3 d5 e3 Be7
Nf3 Nf6 c4 c5 d4 cxd4 Nxd4 e6 g3 Bb4+ Bd2 Be7
Nf3 Nf6 c4 c5 d4 cxd4 Nxd4 e6 g3 Bb4+ Nc3 Ne4
Nf3 Nf6 c4 c5 g3 Nc6 Nc3 d5 d4 cxd4 Nxd4 dxc4
Nf3 Nf6 c4 c5 g3 Nc6 Nc3 d5 d4 e6 cxd5 Nxd5
Nf3 Nf6 c4 c5 g3 b6 Bg2 Bb7 O-O e6 Nc3 Be7
Nf3 Nf6 c4 c5 g3 d5 cxd5 Nxd5 Bg2 Nc6 Nc3 g6
Nf3 Nf6 c4 c5 g3 d5 cxd5 Nxd5 Bg2 Nc6 d4 Nf6
Nf3 Nf6 c4 c5 g3 d6 Bg2 Nc6 Nc3 g6 d4 cxd4
Nf3 Nf6 c4 c6 Nc3 d5 d4 a6 c5 g6 Bf4 Bg7
Nf3 Nf6 c4 c6 Nc3 d5 d4 dxc4 a4 Bf5 e3 e6
Nf3 Nf6 c4 c6 Nc3 d5 d4 e6 Bg5 h6 Bxf6 Qxf6
Nf3 Nf6 c4 c6 Nc3 d5 e3 a6 Qc2 b5 b3 Bg4
Nf3 Nf6 c4 c6 Nc3 d5 e3 a6 d4 Bf5 Be2 h6
Nf3 Nf6 c4 c6 Nc3 d5 e3 e6 b3 Bd6 Bb2 O-O
Nf3 Nf6 c4 c6 Nc3 d5 e3 g6 d4 Bg7 Bd3 O-O
Nf3 Nf6 c4 c6 Nc3 d5 e3 g6 d4 Bg7 Be2 O-O
Nf3 Nf6 c4 c6 d4 b5 Nbd2 bxc4 Nxc4 d5 Nce5 e6
Nf3 Nf6 c4 c6 d4 d5 Nc3 Qb6 e3 Bg4 h3 Bxf3
Nf3 Nf6 c4 c6 d4 d5 Nc3 a6 e3 g6 Bd3 Bg7
Nf3 Nf6 c4 c6 d4 d5 Nc3 a6 e3 g6 Be2 Bg7
Nf3 Nf6 c4 c6 d4 d5 Nc3 e6 g3 dxc4 Bg2 b5
Nf3 Nf6 c4 c6 d4 d5 e3 Bf5 Nc3 e6 Nh4 Bg6
Nf3 Nf6 c4 c6 d4 d5 e3 a6 Nc3 b5 b3 Bg4
Nf3 Nf6 c4 c6 e3 d5 Nc3 g6 Be2 Bg7 O-O O-O
Nf3 Nf6 c4 c6 g3 g6 b3 Bg7 Bb2 d5 Bg2 O-O
Nf3 Nf6 c4 d6 d4 Bg4 Nc3 g6 e4 Bxf3 Qxf3 Nc6
Nf3 Nf6 c4 e6 Nc3 Bb4 Qc2 O-O a3 Bxc3 Qxc3 b6
Nf3 Nf6 c4 e6 Nc3 Bb4 Qc2 c5 a3 Ba5 g3 O-O
Nf3 Nf6 c4 e6 Nc3 Bb4 d4 c5 g3 Nc6 Bg2 Ne4
Nf3 Nf6 c4 e6 Nc3 Bb4 g3 O-O Bg2 d5 a3 Be7
Nf3 Nf6 c4 e6 Nc3 Bb4 g3 b6 Bg2 Bb7 O-O O-O
Nf3 Nf6 c4 e6 Nc3 c5 e3 Be7 b3 O-O Bb2 b6
Nf3 Nf6 c4 e6 Nc3 c5 g3 b6 Bg2 Bb7 O-O Be7
Nf3 Nf6 c4 e6 Nc3 d5 d4 Bb4 cxd5 exd5 Bg5 Nbd7
Nf3 Nf6 c4 e6 Nc3 d5 d4 Bb4 e3 O-O Bd3 c5
Nf3 Nf6 c4 e6 Nc3 d5 d4 Be7 Bf4 O-O Qc2 c5
Nf3 Nf6 c4 e6 Nc3 d5 d4 Be7 Bf4 O-O e3 b6
Nf3 Nf6 c4 e6 Nc3 d5 d4 Be7 Bg5 O-O e3 c6
Nf3 Nf6 c4 e6 Nc3 d5 d4 Be7 Bg5 O-O e3 h6
Nf3 Nf6 c4 e6 Nc3 d5 d4 Be7 Bg5 h6 Bh4 O-O
Nf3 Nf6 c4 e6 Nc3 d5 d4 Be7 Bg5 h6 Bxf6 Bxf6
Nf3 Nf6 c4 e6 Nc3 d5 d4 Be7 Qc2 c5 cxd5 cxd4
Nf3 Nf6 c4 e6 Nc3 d5 d4 Nbd7 Bf4 dxc4 e3 Nb6
Nf3 Nf6 c4 e6 Nc3 d5 d4 Nbd7 cxd5 exd5 Bg5 Be7
Nf3 Nf6 c4 e6 Nc3 d5 d4 c5 cxd5 Nxd5 e4 Nxc3
Nf3 Nf6 c4 e6 Nc3 d5 d4 c6 Bg5 h6 Bxf6 Qxf6
Nf3 Nf6 c4 e6 Nc3 d5 d4 c6 e3 Nbd7 Qc2 Bd6
Nf3 Nf6 c4 e6 Nc3 d5 d4 dxc4 e4 Bb4 Bg5 c5
Nf3 Nf6 c4 e6 Nc3 d5 e3 Bd6 b3 O-O Bb2 c5
Nf3 Nf6 c4 e6 b3 d5 Bb2 Be7 e3 O-O Nc3 c5
Nf3 Nf6 c4 e6 d4 b6 Nc3 Bb7 a3 d5 cxd5 Nxd5
Nf3 Nf6 c4 e6 d4 d5 Nc3 Bb4 Bg5 h6 Bxf6 Qxf6
Nf3 Nf6 c4 e6 d4 d5 Nc3 Nbd7 Bf4 Bb4 cxd5 exd5
Nf3 Nf6 c4 e6 d4 d5 g3 Bb4+ Bd2 Be7 Bg2 O-O
Nf3 Nf6 c4 e6 d4 d5 g3 Be7 Bg2 O-O O-O dxc4
Nf3 Nf6 c4 e6 d4 d5 g3 dxc4 Bg2 a6 O-O Nc6
Nf3 Nf6 c4 e6 g3 Be7 Bg2 O-O O-O d5 b3 c5
Nf3 Nf6 c4 e6 g3 a6 Nc3 d5 cxd5 exd5 Bg2 Be7
Nf3 Nf6 c4 e6 g3 b6 Bg2 Bb7 O-O Be7 Nc3 O-O
Nf3 Nf6 c4 e6 g3 b6 Bg2 Bb7 O-O Be7 d3 O-O
Nf3 Nf6 c4 e6 g3 b6 Bg2 Bb7 O-O Be7 d4 O-O
Nf3 Nf6 c4 e6 g3 b6 Bg2 Bb7 O-O c5 Nc3 Be7
Nf3 Nf6 c4 e6 g3 c5 Bg2 Nc6 O-O Be7 Nc3 O-O
Nf3 Nf6 c4 e6 g3 d5 Bg2 Be7 O-O O-O b3 c5
Nf3 Nf6 c4 e6 g3 d5 Bg2 Be7 O-O O-O d4 dxc4
Nf3 Nf6 c4 e6 g3 d5 Bg2 Be7 d4 O-O O-O c6
Nf3 Nf6 c4 e6 g3 d5 Bg2 Be7 d4 O-O O-O dxc4
Nf3 Nf6 c4 e6 g3 d5 Bg2 d4 O-O c5 e3 Nc6
Nf3 Nf6 c4 e6 g3 d5 Bg2 d4 e3 c5 O-O Nc6
Nf3 Nf6 c4 e6 g3 d5 Bg2 dxc4 Qa4+ Nbd7 Qxc4 a6
Nf3 Nf6 c4 e6 g3 d5 b3 Be7 Bb2 O-O Bg2 c5
Nf3 Nf6 c4 e6 g3 d5 b3 Be7 Bg2 O-O O-O c5
Nf3 Nf6 c4 e6 g3 d5 b3 c5 Bg2 Nc6 cxd5 exd5
Nf3 Nf6 c4 e6 g3 d5 b3 d4 Bg2 c5 e3 Nc6
Nf3 Nf6 c4 e6 g3 d5 b3 dxc4 bxc4 e5 Bb2 e4
Nf3 Nf6 c4 e6 g3 d5 d4 Bb4+ Bd2 Bd6 Bg2 O-O
Nf3 Nf6 c4 e6 g3 d5 d4 Bb4+ Bd2 Be7 Bg2 O-O
Nf3 Nf6 c4 e6 g3 d5 d4 Be7 Bg2 O-O O-O dxc4
Nf3 Nf6 c4 e6 g3 d5 d4 dxc4 Bg2 Bb4+ Bd2 a5
Nf3 Nf6 c4 e6 g3 d5 d4 dxc4 Bg2 Bb4+ Bd2 c5
Nf3 Nf6 c4 e6 g3 d5 d4 dxc4 Bg2 Nc6 Qa4 Nd7
Nf3 Nf6 c4 e6 g3 d5 d4 dxc4 Bg2 a6 O-O Nc6
Nf3 Nf6 c4 g6 Nc3 Bg7 d4 O-O e4 d6 h3 Na6
Nf3 Nf6 c4 g6 Nc3 Bg7 e4 d6 d4 O-O Be2 Na6
Nf3 Nf6 c4 g6 Nc3 Bg7 e4 d6 d4 O-O Be2 Nbd7
Nf3 Nf6 c4 g6 Nc3 Bg7 e4 d6 d4 O-O Be2 c5
Nf3 Nf6 c4 g6 Nc3 Bg7 e4 d6 d4 O-O Be2 e5
Nf3 Nf6 c4 g6 Nc3 Bg7 e4 e5 Nxe5 O-O Nf3 Re8
Nf3 Nf6 c4 g6 Nc3 Bg7 g3 O-O Bg2 c6 e4 d6
Nf3 Nf6 c4 g6 Nc3 Bg7 g3 O-O Bg2 d6 d4 Nc6
Nf3 Nf6 c4 g6 Nc3 Bg7 g3 c6 Bg2 d5 cxd5 cxd5
Nf3 Nf6 c4 g6 Nc3 Bg7 g3 d6 Bg2 O-O O-O Nc6
Nf3 Nf6 c4 g6 Nc3 Bg7 g3 d6 Bg2 O-O O-O e5
Nf3 Nf6 c4 g6 Nc3 c5 e4 d6 d4 cxd4 Nxd4 Bg7
Nf3 Nf6 c4 g6 Nc3 d5 Qa4+ Bd7 Qb3 dxc4 Qxc4 Bg7
Nf3 Nf6 c4 g6 Nc3 d5 Qa4+ Bd7 Qb3 dxc4 Qxc4 a6
Nf3 Nf6 c4 g6 Nc3 d5 Qa4+ Bd7 Qb3 dxc4 Qxc4 c5
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 Qa4+ Bd7 Qb3 Nb6
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 Qa4+ Bd7 Qh4 Nxc3
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 Qa4+ Nc6 Ne5 Qd6
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 Qb3 Nb6 d4 Bg7
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 d3 Bg7 Bd2 Nc6
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 d3 Nxc3 bxc3 Bg7
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 dxc3 Qxd1+
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 g3 Bg7 Bg2 Nb6
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 g3 Bg7 Bg2 Nxc3
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 g3 Bg7 Bg2 O-O
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 g3 Bg7 Bg2 c5
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 h4 Bg7 h5 Nc6
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 h4 Nxc3 bxc3 Bg7
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 h4 Nxc3 bxc3 h6
Nf3 Nf6 c4 g6 b3 Bg7 Bb2 O-O g3 b6 Bg2 Bb7
Nf3 Nf6 c4 g6 b3 Bg7 Bb2 O-O g3 d6 d4 a6
Nf3 Nf6 c4 g6 d4 Bg7 g3 O-O Bg2 d5 O-O c5
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 O-O O-O c5 d4 cxd4
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 O-O O-O d6 Nc3 a6
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 O-O O-O d6 d4 Nc6
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 O-O O-O d6 d4 c6
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 O-O d4 c6 O-O d5
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 c5 Nc3 O-O d4 cxd4
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 c5 d4 cxd4 Nxd4 O-O
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 c6 b3 d5 Bb2 O-O
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 d5 d4 c6 Qb3 O-O
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 d5 d4 c6 b3 dxc4
Nf3 Nf6 c4 g6 g3 d5 cxd5 Nxd5 Bg2 Bg7 O-O O-O
Nf3 Nf6 d3 d5 Nbd2 e6 g3 c5 Bg2 Nc6 e4 Be7
Nf3 Nf6 d4 d5 c4 e6 Nc3 Be7 Bg5 h6 Bf4 O-O
Nf3 Nf6 d4 e6 Bf4 b6 e3 Bb7 Bd3 Be7 h3 O-O
Nf3 Nf6 d4 e6 c4 b6 g3 Ba6 Qa4 Bb7 Bg2 c5
Nf3 Nf6 d4 e6 c4 d5 Nc3 Be7 Bf4 O-O e3 b6
Nf3 Nf6 d4 g6 Bg5 Bg7 Nbd2 O-O c3 d5 Bxf6 Bxf6
Nf3 Nf6 d4 g6 Bg5 Bg7 Nbd2 d5 c3 c5 dxc5 Nbd7
Nf3 Nf6 d4 g6 c4 Bg7 Nc3 O-O e4 d6 Be2 c5
Nf3 Nf6 d4 g6 c4 Bg7 Nc3 O-O g3 d6 Bg2 c5
Nf3 Nf6 d4 g6 c4 Bg7 Nc3 d5 Bg5 Ne4 Bf4 Nxc3
Nf3 Nf6 d4 g6 c4 Bg7 e3 O-O Be2 d6 Nc3 Nbd7
Nf3 Nf6 e3 g6 b4 Bg7 Bb2 O-O c4 b6 Be2 c5
Nf3 Nf6 g3 b5 Bg2 Bb7 Na3 a6 c4 b4 Nc2 e6
Nf3 Nf6 g3 b5 Bg2 Bb7 b3 g6 c4 bxc4 bxc4 c5
Nf3 Nf6 g3 b5 d4 e6 Bg5 c5 d5 Qa5+ Bd2 Qb6
Nf3 Nf6 g3 b6 Bg2 Bb7 O-O e6 d3 d5 Nbd2 Be7
Nf3 Nf6 g3 b6 Bg2 Bb7 O-O e6 d4 c5 c3 Nc6
Nf3 Nf6 g3 b6 d4 Bb7 c4 e6 Bg2 Be7 O-O O-O
Nf3 Nf6 g3 c5 Bg2 Nc6 O-O e5 e4 Be7 Nc3 d6
Nf3 Nf6 g3 c5 Bg2 Nc6 O-O e5 e4 d6 Re1 g6
Nf3 Nf6 g3 c5 Bg2 Nc6 O-O e5 e4 d6 c3 g6
Nf3 Nf6 g3 c5 Bg2 Nc6 O-O e5 e4 d6 d3 g6
Nf3 Nf6 g3 c5 Bg2 Nc6 c4 d5 cxd5 Nxd5 Nc3 Nc7
Nf3 Nf6 g3 c5 Bg2 Nc6 d4 cxd4 Nxd4 e5 Nb3 d5
Nf3 Nf6 g3 c5 Bg2 g6 c4 Bg7 d4 cxd4 Nxd4 d5
Nf3 Nf6 g3 d5 Bg2 Bf5 O-O e6 d3 Be7 b3 O-O
Nf3 Nf6 g3 d5 Bg2 Bg4 c4 c6 Ne5 Bh5 cxd5 Nxd5
Nf3 Nf6 g3 d5 Bg2 Bg4 d3 Nbd7 Nbd2 e5 h3 Bh5
Nf3 Nf6 g3 d5 Bg2 Nbd7 d4 e6 O-O Bd6 Nbd2 O-O
Nf3 Nf6 g3 d5 Bg2 c5 O-O e6 c4 Be7 cxd5 exd5
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bf5 c4 e6 Qb3 Qb6
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bf5 c4 e6 cxd5 cxd5
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bf5 c4 e6 cxd5 exd5
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bg4 c4 e6 cxd5 Bxf3
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bg4 c4 e6 d3 Nbd7
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bg4 d3 Nbd7 Nbd2 e5
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bg4 d3 Nbd7 h3 Bh5
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bg4 d3 Nbd7 h3 Bxf3
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bg4 d4 Nbd7 Nbd2 e6
Nf3 Nf6 g3 d5 Bg2 c6 c4 Bf5 O-O e6 cxd5 exd5
Nf3 Nf6 g3 d5 Bg2 c6 d3 Bg4 Nbd2 Nbd7 h3 Bh5
Nf3 Nf6 g3 d5 Bg2 c6 d3 Bg4 b3 Nbd7 Bb2 e6
Nf3 Nf6 g3 d5 Bg2 c6 d4 Bg4 Ne5 Bh5 O-O e6
Nf3 Nf6 g3 d5 Bg2 e6 O-O Be7 c4 O-O b3 c5
Nf3 Nf6 g3 d5 Bg2 e6 O-O Be7 c4 O-O d3 c5
Nf3 Nf6 g3 d5 Bg2 e6 O-O Be7 c4 O-O d4 dxc4
Nf3 Nf6 g3 d5 Bg2 e6 O-O Be7 d3 O-O Bf4 b6
Nf3 Nf6 g3 d5 Bg2 e6 O-O Be7 d3 O-O Nbd2 c5
Nf3 Nf6 g3 d5 Bg2 e6 O-O Be7 d4 b5 a4 b4
Nf3 Nf6 g3 d5 Bg2 e6 c4 Be7 O-O O-O b3 c6
Nf3 Nf6 g3 d5 Bg2 e6 c4 Be7 O-O O-O d4 dxc4
Nf3 Nf6 g3 d5 Bg2 g6 O-O Bg7 d4 O-O Nbd2 a5
Nf3 Nf6 g3 d5 Bg2 g6 O-O Bg7 d4 O-O c4 c6
Nf3 Nf6 g3 d5 Bg2 g6 c4 dxc4 Na3 Bg7 Nxc4 c5
Nf3 Nf6 g3 d5 Bg2 g6 c4 dxc4 Qa4+ Nfd7 Qxc4 Bg7
Nf3 Nf6 g3 d5 c4 e6 Bg2 Be7 O-O O-O b3 dxc4
Nf3 Nf6 g3 e6 Bg2 d5 O-O Be7 c4 O-O d4 dxc4
Nf3 Nf6 g3 e6 Bg2 d5 O-O Be7 d3 O-O Re1 c5
Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O c4 c6 b3 Ne4
Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O c4 c6 b3 d5
Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O c4 d6 d4 Nbd7
Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d4 d5 Nbd2 a5
Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d4 d6 Re1 Nbd7
Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d4 d6 b3 b5
Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d4 d6 c4 Nbd7
Nf3 Nf6 g3 g6 Bg2 Bg7 c4 O-O d4 d6 O-O c5
Nf3 Nf6 g3 g6 Bg2 Bg7 c4 c5 Nc3 d5 d4 cxd4
Nf3 Nf6 g3 g6 b3 Bg7 Bb2 O-O Bg2 d5 c4 c6
Nf3 Nf6 g3 g6 b3 Bg7 Bb2 c5 Bg2 O-O c4 d6
Nf3 Nf6 g3 g6 b3 Bg7 Bb2 d5 c4 c6 Bg2 O-O
Nf3 Nf6 g3 g6 b3 d5 Bb2 c5 Bg2 Bg7 c4 d4
Nf3 Nf6 g3 g6 c4 Bg7 Bg2 O-O Nc3 c5 d4 d6
Nf3 Nf6 g3 g6 d4 Bg7 Bg2 O-O O-O d5 Be3 Bf5
Nf3 Nf6 g3 g6 d4 d5 c4 c6 Bg2 Bg7 Qb3 O-O
Nf3 c5 b3 d6 e3 e5 Bb5+ Nc6 Nc3 Nf6 d4 e4
Nf3 c5 c3 Nf6 d4 cxd4 cxd4 d5 Nc3 Nc6 Bf4 Bf5
Nf3 c5 c3 d5 d4 cxd4 cxd4 Nf6 Nc3 Nc6 Bf4 a6
Nf3 c5 c3 d5 e3 Nf6 d4 e6 Nbd2 Bd6 dxc5 Bxc5
Nf3 c5 c4 Nc6 Nc3 Nf6 d4 cxd4 Nxd4 e6 e4 Bb4
Nf3 c5 c4 Nc6 Nc3 Nf6 e3 e6 d4 d5 a3 a6
Nf3 c5 c4 Nc6 Nc3 Nf6 g3 d5 d4 e6 cxd5 Nxd5
Nf3 c5 c4 Nc6 Nc3 e5 e3 Nf6 Be2 d5 d4 cxd4
Nf3 c5 c4 Nc6 Nc3 e5 e3 Nf6 Be2 d5 d4 exd4
Nf3 c5 c4 Nc6 Nc3 e5 e3 Nf6 d4 cxd4 exd4 e4
Nf3 c5 c4 Nc6 Nc3 e5 e3 Nf6 d4 e4 Nd2 cxd4
Nf3 c5 c4 Nc6 Nc3 e5 e3 Nf6 d4 e4 Ne5 g6
Nf3 c5 c4 Nc6 Nc3 e5 e3 Nf6 d4 e4 d5 exf3
Nf3 c5 c4 Nc6 Nc3 e5 g3 f5 Nh4 g6 e4 f4
Nf3 c5 c4 Nc6 Nc3 e5 g3 g6 Bg2 Bg7 O-O Nge7
Nf3 c5 c4 Nc6 Nc3 e5 g3 g6 Bg2 Bg7 O-O d6
Nf3 c5 c4 Nc6 Nc3 e5 g3 g6 Bg2 Bg7 a3 d6
Nf3 c5 c4 Nc6 Nc3 g6 e3 Nf6 d4 cxd4 exd4 d5
Nf3 c5 c4 Nc6 b3 Nf6 Bb2 g6 g3 Bg7 Bg2 O-O
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e6 Bg5 h6
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e6 a3 Bc5
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e6 a3 Be7
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e6 a3 d5
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e6 g3 Qb6
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 Nf6 g3 Qb6 Nc2 e6
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 Nf6 g3 Qb6 Nc2 h5
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 Nf6 g3 e5 Nb5 Bb4+
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 Nf6 g3 e6 Bg2 Qb6
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 g6 e4 Bg7 Be3 Nf6
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 g6 e4 Nf6 Nc3 d6
Nf3 c5 c4 Nc6 e3 Nf6 Nc3 g6 d4 cxd4 exd4 d5
Nf3 c5 c4 Nf6 Nc3 Nc6 d4 cxd4 Nxd4 e6 g3 Qb6
Nf3 c5 c4 Nf6 Nc3 d5 cxd5 Nxd5 e3 Nxc3 bxc3 g6
Nf3 c5 c4 Nf6 Nc3 d5 cxd5 Nxd5 e3 Nxc3 dxc3 Qc7
Nf3 c5 c4 Nf6 Nc3 d5 cxd5 Nxd5 e3 e6 d4 Nc6
Nf3 c5 c4 Nf6 Nc3 d5 cxd5 Nxd5 e3 g6 Bb5+ Bd7
Nf3 c5 c4 Nf6 Nc3 d5 cxd5 Nxd5 e4 Nb4 Bb5+ N8c6
Nf3 c5 c4 Nf6 Nc3 d5 cxd5 Nxd5 e4 Nb4 Bc4 Nd3+
Nf3 c5 c4 Nf6 Nc3 d5 cxd5 Nxd5 g3 Nc6 Bg2 e5
Nf3 c5 c4 Nf6 Nc3 e6 g3 Nc6 Bg2 Be7 O-O O-O
Nf3 c5 c4 Nf6 Nc3 g6 d4 cxd4 Nxd4 Nc6 e4 d6
Nf3 c5 c4 Nf6 b3 g6 Bb2 Bg7 g3 b6 Bg2 Bb7
